student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,caffeine_intake,sleep_quality,diet_score,internet_score,part_job_score,stress_proxy,focus_proxy
S1023,24.0,Female,1.1,4.1,1.4,Yes,90.0,9.0,Fair,6.0,Bachelor,Good,1.0,No,43.7,2.5,5.6,0,1,1,4.069341023168938,7.281668235109908
S1024,20.0,Female,2.0,0.0,0.9,Yes,81.8,5.5,Fair,4.0,Bachelor,Average,2.0,No,54.9,2.9,3.6,0,0,1,4.886682322587936,5.728083584561742
S1025,22.0,Male,4.9,4.3,3.3,No,74.7,9.0,Fair,1.0,High School,Average,2.0,Yes,69.9,4.2,4.7,0,0,0,5.478829205768523,6.352538613890006
S1026,22.0,Male,2.0,0.8,0.5,No,83.8,6.5,Good,4.0,Bachelor,Poor,4.0,No,73.5,1.0,4.7,1,-1,0,4.012661899805653,6.08094693677117
S1027,18.0,Male,3.2,2.2,2.8,Yes,88.1,4.8,Fair,5.0,Bachelor,Average,3.0,No,71.1,5.3,4.4,0,0,1,5.062443419990552,5.095408945092545
S1028,24.0,Male,4.3,2.0,2.8,Yes,78.4,8.1,Good,5.0,High School,Poor,3.0,Yes,82.8,4.3,4.1,1,-1,1,5.375881228178764,6.481768574431232
S1029,20.0,Female,2.0,3.2,3.8,Yes,82.6,6.7,Poor,6.0,High School,Poor,10.0,Yes,75.7,4.4,4.8,-1,-1,1,5.255613296589271,5.8614158551759115
S1030,21.0,Female,3.7,0.6,1.3,No,75.6,7.5,Fair,2.0,Master,Average,5.0,No,70.6,1.9,4.1,0,0,0,4.363795111985026,6.767052155525968
S1031,17.0,Other,1.5,3.1,2.6,Yes,96.2,8.0,Fair,4.0,Bachelor,Average,3.0,Yes,51.3,5.4,4.6,0,0,1,5.890845966038432,5.6706172176615945
S1032,20.0,Other,2.6,4.9,4.3,No,82.1,6.9,Good,3.0,Bachelor,Good,7.0,No,52.1,4.0,5.4,1,1,0,3.3771974410558014,7.528977635770558
S1033,18.0,Female,4.0,0.9,1.1,No,99.5,5.8,Poor,2.0,,Average,5.0,No,70.7,2.1,2.3,-1,0,0,5.404018518759275,5.297103480457827
S1034,22.0,Female,1.1,2.7,0.1,No,100.0,7.7,Fair,1.0,High School,Good,4.0,No,51.2,2.4,6.2,0,1,0,2.8656789610249005,8.113192989537467
S1035,21.0,Female,4.2,1.7,0.0,Yes,84.2,6.5,Good,1.0,Bachelor,Average,3.0,No,72.6,3.4,3.2,1,0,1,5.2937188413623755,6.076730721110851
S1036,20.0,Female,3.5,3.0,2.6,No,74.9,7.3,Fair,3.0,High School,Good,4.0,No,70.7,3.5,3.0,0,1,0,4.566803392217553,6.439166287145599
S1037,17.0,Male,4.3,2.5,0.0,Yes,64.1,3.9,Good,0.0,High School,Average,2.0,No,59.4,3.6,2.0,1,0,1,6.099260956475126,4.2928128503590495
S1038,17.0,Male,3.8,1.7,1.4,No,70.3,7.0,Poor,0.0,Bachelor,Good,1.0,No,58.1,1.8,3.1,-1,1,0,5.4124298328988045,5.263088743524012
S1039,19.0,Male,5.5,3.1,2.3,No,71.3,5.7,Good,1.0,High School,Average,3.0,No,82.3,4.6,2.4,1,0,0,5.367679818870813,5.158824497084482
S1040,19.0,Female,3.7,4.7,2.0,No,98.8,8.5,Good,6.0,Bachelor,Good,2.0,No,69.7,4.2,5.3,1,1,0,3.8806042746403024,8.074398470648516
S1041,23.0,Female,2.9,2.3,2.3,No,86.2,7.2,Good,6.0,Bachelor,Average,1.0,No,66.0,3.0,5.2,1,0,0,3.904290855217054,7.311798110643533
S1042,18.0,Male,3.7,3.4,2.0,No,88.9,6.8,Fair,3.0,High School,Poor,1.0,Yes,63.5,3.4,2.3,0,-1,0,6.247256556395037,5.589538863308322
S1043,24.0,Female,4.3,0.9,3.2,No,62.8,7.1,Poor,0.0,Bachelor,Good,2.0,No,65.7,3.0,3.5,-1,1,0,5.6440295439253925,5.79374612774076
S1044,20.0,Female,3.6,1.4,0.8,No,73.0,5.3,Good,4.0,High School,Poor,9.0,No,78.5,1.8,5.9,1,-1,0,3.3205219264514967,7.159394374196258
S1045,20.0,Male,3.6,3.1,1.1,No,93.9,8.4,Fair,1.0,Bachelor,Average,5.0,Yes,75.1,2.3,4.9,0,0,0,4.4067693283899665,7.161287635221542
S1046,24.0,Male,2.4,4.3,1.0,No,87.9,8.9,Poor,5.0,High School,Average,9.0,Yes,71.0,2.3,5.6,-1,0,0,3.5363819666942273,7.419579363841303
S1047,23.0,Female,2.5,2.9,2.7,No,83.5,7.0,Good,4.0,,Good,8.0,Yes,59.7,3.9,5.0,1,1,0,2.900840922485729,7.994195942710196
S1048,22.0,Female,1.4,2.1,2.8,No,90.6,8.4,Fair,3.0,Bachelor,Good,6.0,No,52.6,2.3,6.2,0,1,0,3.4508446833836053,8.389803975981586
S1049,22.0,Female,6.1,2.5,2.3,No,100.0,5.8,Poor,5.0,High School,Average,1.0,No,96.5,3.1,3.5,-1,0,0,5.493504955236079,5.887946835488382
S1050,23.0,Female,1.6,1.0,3.1,No,82.8,5.5,Fair,4.0,Master,Good,10.0,Yes,62.0,2.7,5.5,0,1,0,2.879586090933627,7.961174316604543
S1051,22.0,Female,2.5,3.2,0.5,No,85.7,6.5,Poor,0.0,High School,Average,5.0,No,59.7,2.5,3.4,-1,0,0,5.422685329518165,5.694444973722177
S1052,19.0,Female,2.4,3.6,3.6,No,86.9,7.0,Fair,6.0,High School,Average,1.0,No,48.4,2.8,5.1,0,0,0,4.506299731206669,6.988393136136542
S1053,20.0,Female,4.8,2.0,3.5,No,100.0,6.0,Good,0.0,Bachelor,Good,7.0,Yes,70.6,4.5,3.9,1,1,0,4.180404882867047,6.481265020816296
S1054,23.0,Female,3.1,1.9,2.6,Yes,64.0,7.1,Fair,5.0,High School,Good,10.0,No,68.1,5.2,5.9,0,1,1,3.784656707710291,6.839478052261972
S1055,20.0,Male,5.4,2.8,3.8,No,91.8,6.9,Good,2.0,High School,Good,8.0,No,87.2,5.1,3.6,1,1,0,4.014842074036036,6.796151831415709
S1056,24.0,Male,2.5,2.0,0.0,No,83.9,5.3,Good,6.0,Bachelor,Average,8.0,No,66.7,1.9,6.0,1,0,0,2.634113154441473,7.884575274121654
S1057,17.0,Male,3.9,2.4,1.2,No,90.7,7.1,Good,1.0,Bachelor,Average,7.0,Yes,75.2,2.9,4.8,1,0,0,3.8527662801595586,7.319828186441601
S1058,19.0,Female,2.2,5.0,1.0,No,78.4,7.5,Poor,5.0,Master,Average,2.0,Yes,46.4,3.3,3.5,-1,0,0,5.442729455174802,5.9753531361084775
S1059,21.0,Female,6.7,2.2,2.6,No,84.5,6.7,Good,3.0,Master,Average,5.0,Yes,97.1,5.3,4.6,1,0,0,4.289954599682697,6.106744784893018
S1060,19.0,Female,1.7,2.1,0.6,Yes,92.1,7.9,Fair,1.0,High School,Average,4.0,No,61.2,3.0,4.1,0,0,1,5.218382236719621,6.4294270387689485
S1061,23.0,Male,4.0,1.7,2.6,No,100.0,5.0,Fair,4.0,Bachelor,Good,5.0,No,75.0,3.5,4.2,0,1,0,3.851889783160791,6.585403570590437
S1062,21.0,Male,4.5,3.4,3.3,Yes,93.1,7.1,Good,6.0,High School,Good,10.0,No,94.7,4.7,5.2,1,1,1,3.4978245274225834,7.56008830995474
S1063,17.0,Male,4.1,2.3,2.6,Yes,76.5,5.1,Fair,3.0,Bachelor,Average,9.0,No,77.6,4.4,3.8,0,0,1,5.200659613978234,5.897002194161906
S1064,23.0,Male,3.2,1.7,2.1,No,80.8,5.2,Good,3.0,High School,Poor,4.0,Yes,68.6,3.8,3.9,1,-1,0,4.522162722993388,6.243221931031723
S1065,18.0,Female,3.3,4.1,0.7,No,80.5,5.7,Poor,0.0,Master,Good,8.0,No,69.6,4.6,2.6,-1,1,0,5.12588784815828,4.789153621549741
S1066,20.0,Male,3.6,4.2,0.9,No,67.0,5.4,Good,4.0,Bachelor,Average,8.0,No,66.5,3.7,4.7,1,0,0,3.8213828588053422,6.815845842246124
S1067,17.0,Male,3.3,1.8,3.2,No,81.7,5.8,Poor,0.0,Master,Good,2.0,No,62.2,4.1,2.1,-1,1,0,6.089738371237372,4.421233314045524
S1068,20.0,Female,4.9,0.3,2.7,Yes,92.3,6.2,Good,0.0,Bachelor,Poor,6.0,No,82.1,5.1,3.0,1,-1,1,5.630918594057179,5.152791402212522
S1069,22.0,Male,6.8,3.7,1.8,No,72.3,7.5,Poor,6.0,Master,Average,5.0,No,100.0,4.2,5.8,-1,0,0,5.015455285736078,6.9423066450742885
S1070,18.0,Female,2.7,1.7,1.3,No,95.5,6.1,Poor,2.0,Bachelor,Good,2.0,Yes,59.7,2.9,3.4,-1,1,0,5.074280090887815,6.521353413807513
S1071,18.0,Female,1.4,3.4,0.0,No,89.9,4.6,Fair,0.0,High School,Poor,10.0,Yes,55.1,3.9,3.2,0,-1,0,4.836408198253544,5.50790361036783
S1072,17.0,Male,3.4,0.1,0.6,No,77.7,7.9,Fair,1.0,High School,Average,4.0,Yes,77.1,1.9,4.7,0,0,0,3.855042829980964,6.575947882877661
S1073,18.0,Female,7.4,3.6,3.9,No,83.6,5.5,Fair,3.0,High School,Average,7.0,Yes,97.7,7.0,3.9,0,0,0,6.46779122841657,3.7536053188946052
S1074,21.0,Female,2.3,1.0,0.4,No,100.0,6.4,Fair,6.0,,Good,1.0,No,66.9,1.0,5.5,0,1,0,3.3090622735904827,7.173173334613253
S1075,18.0,Female,6.0,3.4,2.0,Yes,92.3,7.0,Fair,0.0,Bachelor,Good,9.0,Yes,99.9,6.6,2.7,0,1,1,6.259611226023866,4.271573912509591
S1076,20.0,Male,6.0,2.5,2.9,No,85.1,6.7,Poor,5.0,Bachelor,Average,10.0,Yes,100.0,4.5,5.8,-1,0,0,4.135714851992535,6.919281712329183
S1077,20.0,Female,2.7,1.4,0.4,No,82.6,7.8,Fair,1.0,Bachelor,Poor,1.0,No,57.2,1.8,2.9,0,-1,0,5.354637318562291,5.4691865975962095
S1078,23.0,Female,4.4,2.0,2.0,Yes,85.8,7.1,Good,4.0,Master,Good,5.0,No,77.3,4.9,5.5,1,1,1,3.5229846840018424,6.950595317298841
S1079,20.0,Male,5.9,3.3,2.8,Yes,79.9,5.5,Good,3.0,Master,Average,7.0,No,91.6,4.7,3.2,1,0,1,5.18707701811502,5.518389873326569
S1080,23.0,Male,2.9,2.6,1.8,No,64.0,9.1,Good,6.0,High School,Good,8.0,No,70.7,2.3,6.7,1,1,0,2.1070942595758693,8.845742774330851
S1081,20.0,Other,3.2,3.2,5.0,No,100.0,6.7,Good,5.0,High School,Poor,2.0,No,57.6,4.2,4.0,1,-1,0,5.438945960096508,6.1535172477578595
S1082,21.0,Female,2.6,4.9,0.0,Yes,86.6,6.3,Fair,6.0,High School,Poor,4.0,No,60.2,5.9,5.0,0,-1,1,5.817087776756792,4.832394495953847
S1083,24.0,Male,2.0,0.6,3.0,No,89.0,7.7,Poor,6.0,High School,Good,2.0,Yes,50.5,1.6,4.6,-1,1,0,4.0627040166334085,7.2481937654309245
S1084,23.0,Female,2.5,4.4,1.6,No,84.4,6.8,Fair,5.0,Bachelor,Average,4.0,No,51.3,2.6,4.0,0,0,0,4.4612752715964445,6.4144949845572095
S1085,19.0,Male,1.7,2.6,2.6,No,77.6,7.0,Good,4.0,Bachelor,Good,6.0,No,53.5,2.2,5.5,1,1,0,3.027701517227176,7.885885431890999
S1086,22.0,Male,3.6,1.4,2.3,No,83.1,9.5,Good,5.0,Bachelor,Poor,6.0,No,79.2,3.2,5.1,1,-1,0,3.349629779072829,7.864440373643901
S1087,17.0,Male,2.3,0.9,1.0,No,69.0,6.2,Fair,1.0,Master,Average,2.0,Yes,47.2,2.4,4.1,0,0,0,4.716456787866538,6.0705579766931175
S1088,20.0,Male,3.9,2.3,2.1,No,100.0,6.1,Poor,6.0,Bachelor,Good,4.0,No,73.4,3.0,6.0,-1,1,0,4.119251289843174,7.57492505557627
S1089,18.0,Male,1.2,3.6,0.0,No,72.7,6.6,Poor,4.0,High School,Average,4.0,Yes,41.1,2.7,3.9,-1,0,0,5.044599446871468,6.021347098094973
S1090,24.0,Male,4.0,2.3,2.5,No,74.7,7.8,Fair,6.0,Bachelor,Good,1.0,No,77.8,3.3,4.6,0,1,0,4.464764085517134,7.228880620747927
S1091,20.0,Female,4.8,4.3,2.1,No,80.6,4.7,Fair,5.0,High School,Average,2.0,No,63.4,5.5,2.2,0,0,0,5.676050618721128,4.027241021962157
S1092,18.0,Male,0.5,0.8,2.5,Yes,97.9,4.1,Poor,4.0,High School,Good,3.0,No,43.9,3.1,1.9,-1,1,1,5.773707762301896,5.4039280582991385
S1093,22.0,Male,4.1,2.5,3.0,No,85.1,5.8,Good,4.0,,Good,5.0,No,70.2,3.6,4.9,1,1,0,3.392968007149955,7.233842903906768
S1094,22.0,Female,5.3,1.0,2.2,No,72.6,4.5,Fair,0.0,High School,Average,8.0,No,81.3,3.6,3.5,0,0,0,5.001035924739365,5.7486447938038685
S1095,22.0,Male,1.7,2.9,2.0,No,97.5,6.0,Good,0.0,High School,Good,6.0,No,50.2,1.6,5.9,1,1,0,3.2843780340397397,7.392432476893591
S1096,18.0,Female,6.0,3.6,0.8,No,92.3,7.1,Good,0.0,High School,Good,3.0,No,87.9,4.5,3.0,1,1,0,4.832789607431948,6.257357081101199
S1097,20.0,Male,4.1,2.0,1.0,No,90.4,5.4,Good,5.0,Bachelor,Average,6.0,No,80.9,3.6,4.1,1,0,0,3.3922098469191546,7.062365383769543
S1098,22.0,Male,2.4,0.0,3.1,No,92.2,4.8,Good,3.0,Bachelor,Good,7.0,Yes,63.9,2.6,5.2,1,1,0,2.8129825083316717,7.223150118422996
S1099,21.0,Male,3.4,2.7,3.4,No,100.0,6.6,Good,1.0,High School,Good,6.0,No,65.6,3.3,4.4,1,1,0,3.8163834142109985,6.874175513814532
S1100,23.0,Male,4.3,3.0,1.5,No,100.0,7.5,Good,5.0,,Average,10.0,Yes,93.2,2.3,7.0,1,0,0,2.8178627246429238,8.394298451585193
S1101,18.0,Male,3.6,3.0,1.9,No,78.1,4.5,Good,6.0,Bachelor,Average,6.0,No,74.0,3.5,4.5,1,0,0,3.3786838166253252,6.577205386072051
S1102,18.0,Male,4.3,4.0,0.8,No,100.0,7.5,Fair,0.0,,Average,1.0,No,60.8,3.3,3.2,0,0,0,5.588380306232336,6.088294277323716
S1103,20.0,Male,2.1,1.2,3.1,No,88.8,7.5,Good,4.0,Master,Average,3.0,No,50.4,1.7,6.0,1,0,0,3.4704864271018105,8.07339825689802
S1104,18.0,Male,3.8,3.3,2.5,No,90.0,7.6,Good,5.0,Bachelor,Good,7.0,No,74.3,3.4,6.5,1,1,0,2.2947058242096854,8.97702553897756
S1105,18.0,Male,1.4,3.9,3.9,Yes,68.1,8.0,Good,4.0,High School,Average,4.0,Yes,32.8,4.7,4.5,1,0,1,4.945840448020885,6.511803313560984
S1106,22.0,Male,3.3,0.4,0.8,No,83.3,9.1,Good,6.0,High School,Good,4.0,Yes,82.3,3.3,7.8,1,1,0,1.830780415190401,9.359985979820438
S1107,20.0,Male,2.1,2.9,1.4,No,76.9,6.1,Fair,4.0,,Average,7.0,No,60.4,2.9,4.7,0,0,0,4.294204099809885,7.0393687321251885
S1108,22.0,Female,2.4,1.9,2.1,No,93.3,6.6,Poor,4.0,High School,Average,9.0,Yes,60.0,2.8,6.1,-1,0,0,3.7817496032945432,7.50144789729843
S1109,23.0,Female,5.4,2.4,2.5,No,95.7,6.0,Fair,2.0,High School,Good,2.0,No,77.5,4.1,2.2,0,1,0,5.195245606347261,5.343815953075069
S1110,24.0,Male,5.1,2.9,1.6,No,64.3,6.5,Fair,3.0,Bachelor,Average,9.0,Yes,86.5,2.4,4.8,0,0,0,3.9692362790829745,7.1103060454840845
S1111,23.0,Female,4.4,1.9,0.8,No,84.8,8.3,Good,1.0,High School,Average,3.0,No,76.9,2.8,3.6,1,0,0,4.389092117258748,6.746321434020048
S1112,24.0,Female,1.9,1.7,2.8,No,96.2,4.9,Fair,1.0,Bachelor,Poor,6.0,Yes,43.9,2.9,3.3,0,-1,0,5.289456364644891,5.901370888393442
S1113,22.0,Male,3.0,2.5,2.6,No,83.1,5.5,Fair,0.0,Bachelor,Average,4.0,No,51.3,5.3,2.3,0,0,0,5.777465406017012,4.466844189663156
S1114,23.0,Female,5.3,1.2,0.8,No,92.3,8.2,Fair,2.0,High School,Average,1.0,No,83.3,2.8,4.5,0,0,0,4.808053609085406,6.85570869871941
S1115,20.0,Female,3.7,1.2,3.3,No,88.5,7.7,Poor,5.0,,Good,9.0,No,82.7,3.2,5.7,-1,1,0,3.6185521604303923,7.6458355181218245
S1116,17.0,Male,7.0,3.3,3.1,No,88.4,6.1,Good,5.0,,Average,6.0,Yes,94.8,5.2,5.3,1,0,0,3.911898404483086,6.680151229968109
S1117,22.0,Male,4.1,1.1,1.9,No,82.3,7.5,Good,1.0,,Good,8.0,No,80.8,1.9,6.3,1,1,0,2.797385437856315,8.30119541005146
S1118,24.0,Female,3.8,3.3,1.9,No,72.8,6.9,Poor,3.0,Bachelor,Good,2.0,Yes,58.3,4.4,2.8,-1,1,0,5.269195821069598,5.47355086132639
S1119,21.0,Female,3.0,3.1,2.4,Yes,73.8,8.3,Fair,4.0,High School,Average,7.0,No,66.3,5.1,6.8,0,0,1,4.232768353855288,7.2083973515274105
S1120,24.0,Male,3.7,0.4,0.9,No,92.1,6.6,Fair,6.0,Bachelor,Average,6.0,No,87.9,3.1,5.4,0,0,0,3.5635367893801204,7.708142872007037
S1121,21.0,Male,3.3,1.7,1.8,No,85.2,7.7,Poor,0.0,High School,Good,2.0,No,60.5,1.9,3.6,-1,1,0,5.235189662554148,5.8893842296498065
S1122,18.0,Male,4.6,3.9,0.0,No,83.6,9.7,Poor,3.0,High School,Good,2.0,No,84.8,4.2,5.4,-1,1,0,4.367089406265023,7.27962832994091
S1123,23.0,Female,4.9,1.3,2.8,No,80.8,7.2,Good,1.0,Bachelor,Average,4.0,No,77.0,2.3,3.9,1,0,0,4.573573580346984,6.665000711817024
S1124,21.0,Female,2.3,1.9,0.1,No,81.9,6.6,Fair,2.0,Bachelor,Average,4.0,No,61.7,2.7,3.9,0,0,0,4.667010880371284,6.339435652982119
S1125,24.0,Male,1.5,3.1,3.5,No,95.5,7.4,Fair,0.0,High School,Average,3.0,No,44.0,4.5,2.4,0,0,0,5.683897066156844,5.178643333687802
S1126,18.0,Male,0.7,3.4,1.4,Yes,81.6,6.1,Poor,1.0,High School,Poor,8.0,No,42.4,3.1,2.2,-1,-1,1,6.733603685792032,4.427657127223398
S1127,17.0,Female,4.3,2.2,1.6,No,71.6,9.4,Good,5.0,Bachelor,Good,7.0,No,88.0,2.4,8.1,1,1,0,2.077050575881494,9.539174923214398
S1128,20.0,Male,1.8,1.8,1.1,No,92.4,6.7,Good,0.0,High School,Good,2.0,No,48.7,2.2,1.8,1,1,0,4.648802316443343,5.828346123927084
S1129,20.0,Male,0.3,4.2,1.5,No,83.0,6.2,Good,1.0,High School,Average,3.0,Yes,26.8,2.0,2.7,1,0,0,4.910667985472659,5.382090822071973
S1130,20.0,Female,4.1,4.6,3.4,No,85.3,5.5,Poor,5.0,Bachelor,Good,10.0,No,81.6,3.4,5.6,-1,1,0,4.288851619747427,7.070360358331022
S1131,21.0,Female,7.2,3.7,0.0,No,100.0,7.8,Good,6.0,High School,Good,9.0,No,100.0,4.5,5.7,1,1,0,2.433074121924658,8.46398774071846
S1132,17.0,Female,3.5,2.6,3.2,Yes,84.8,7.5,Fair,5.0,Bachelor,Average,5.0,Yes,74.0,4.0,4.6,0,0,1,5.085178266008654,6.672655184593057
S1133,21.0,Female,4.8,1.5,2.2,No,87.9,5.9,Fair,4.0,Bachelor,Poor,2.0,Yes,78.4,4.0,3.3,0,-1,0,5.353299350112287,5.739487038788638
S1134,23.0,Male,3.6,1.5,0.5,No,73.2,7.2,Fair,2.0,Bachelor,Good,3.0,No,70.7,1.8,5.0,0,1,0,3.8957012092311616,6.928923141127858
S1135,21.0,Male,3.4,3.1,0.6,No,82.8,4.7,Fair,4.0,Bachelor,Good,8.0,No,74.3,4.7,4.4,0,1,0,3.1629195009326896,6.230437678004611
S1136,17.0,Female,4.9,3.0,3.6,No,91.1,6.7,Good,1.0,Bachelor,Good,4.0,No,67.6,3.6,4.7,1,1,0,4.358330668987096,7.125141178172516
S1137,17.0,Male,3.1,4.2,0.8,No,69.4,7.0,Good,6.0,Bachelor,Poor,2.0,No,64.7,3.0,4.1,1,-1,0,4.288821843440891,6.424314136817397
S1138,23.0,Male,3.9,3.3,0.5,No,87.0,8.5,Fair,3.0,Master,Average,2.0,No,64.1,3.6,4.9,0,0,0,4.655909559742737,6.987787405917726
S1139,17.0,Male,4.0,0.7,3.1,No,86.0,5.6,Good,6.0,High School,Poor,6.0,No,83.5,2.3,4.9,1,-1,0,3.7057211528299856,6.8490042292896165
S1140,24.0,Male,2.5,3.8,2.2,No,85.4,5.0,Good,6.0,High School,Good,8.0,No,63.4,3.8,3.4,1,1,0,3.6213707432334714,6.763578785985882
S1141,17.0,Male,5.0,1.3,0.8,No,95.4,5.4,Good,6.0,Bachelor,Good,7.0,No,96.2,4.5,6.7,1,1,0,2.1198707391664304,8.380796586571737
S1142,20.0,Male,3.2,2.0,2.0,No,88.3,4.9,Fair,4.0,Bachelor,Poor,4.0,Yes,65.4,2.0,3.2,0,-1,0,4.7432173728935805,5.556264382991959
S1143,24.0,Male,2.4,2.8,0.7,No,99.8,8.1,Fair,3.0,,Good,2.0,No,62.0,2.5,4.9,0,1,0,3.9102079464080197,7.637929225538778
S1144,24.0,Male,4.3,4.9,3.0,No,75.1,8.4,Fair,5.0,Master,Good,9.0,Yes,74.0,4.3,5.9,0,1,0,3.534951690515042,8.047289261587485
S1145,23.0,Female,2.2,6.2,3.0,No,86.4,6.9,Good,1.0,,Good,4.0,No,46.7,4.6,4.4,1,1,0,4.361439692831185,6.173324034246296
S1146,19.0,Female,3.5,3.2,2.4,No,85.8,8.0,Poor,2.0,Bachelor,Good,9.0,No,75.5,2.3,5.2,-1,1,0,3.939816138311026,7.3033004002751785
S1147,19.0,Female,3.5,2.3,2.2,No,74.3,6.7,Fair,3.0,Bachelor,Poor,5.0,Yes,78.1,2.1,3.7,0,-1,0,4.655426523117883,5.840313359967949
S1148,17.0,Female,5.1,3.1,3.7,No,94.6,6.4,Fair,1.0,Master,Good,7.0,No,85.2,4.8,5.8,0,1,0,4.4428552581543945,6.898506940705886
S1149,24.0,Female,4.2,3.6,1.8,Yes,100.0,6.1,Fair,3.0,,Poor,5.0,No,75.4,5.6,1.0,0,-1,1,7.75175308395627,3.704922555477883
S1150,19.0,Male,3.5,2.1,0.5,Yes,84.8,6.1,Good,4.0,Bachelor,Average,2.0,No,64.2,4.6,3.3,1,0,1,4.760715330604179,5.450877948484887
S1151,19.0,Female,4.7,4.7,2.3,No,90.1,4.6,Good,1.0,High School,Good,6.0,No,69.7,5.1,3.2,1,1,0,4.533174238438064,5.693703394942403
S1152,17.0,Female,5.6,2.8,4.1,No,85.8,6.8,Good,4.0,High School,Good,7.0,No,90.3,4.0,4.6,1,1,0,3.5016147141173954,7.238889196799537
